tenor,discountfactor,yield
0.00273224043715847,0.9999629237160453,0.013662664178905331
0.01639344262295082,0.9997648158018676,0.01445134886202555
0.02185792349726776,0.99968367728154,0.014579310057381315
0.03551912568306011,0.9994814855765564,0.014709090732230555
0.040983606557377046,0.9993863271098802,0.015090950467565943
0.04644808743169399,0.9931719428926133,0.15894281752956707
0.0546448087431694,0.9991707612701407,0.015297186393606308
0.060109289617486336,0.9990983145441386,0.015120712693391462
0.07377049180327869,0.9988914279657688,0.015149249357667822
0.07923497267759563,0.9988251103703241,0.014947244019103807
0.08469945355191257,0.9936723602484473,0.07782415081389638
0.09289617486338798,0.9985945278972922,0.015255328290159405
0.09836065573770492,0.9985044131858127,0.015332874863265374
0.11202185792349727,0.9982993164377265,0.015310661491948117
0.11748633879781421,0.9982015908066995,0.015439141730653751
0.12568306010928962,0.9921342224426534,0.06484757336158986
0.13114754098360656,0.997998823414984,0.015391507511840447
0.1366120218579235,0.9979324421444835,0.015265536762479317
0.15027322404371585,0.9976953691599301,0.015472447891814659
0.1557377049180328,0.9976309490981959,0.015346412937821517
0.16939890710382513,0.9937849596022373,0.03748889828021573
0.17486338797814208,0.9973264931814669,0.01542738354137596
0.19398907103825136,0.9970287857118899,0.015457449108549813
0.2103825136612022,0.9926333746898264,0.03576988182564156
0.21311475409836064,0.9967513812950654,0.015385488973936132
0.23224043715846995,0.9964244119025073,0.015543210878958293
0.25136612021857924,0.9934742075823494,0.02638855537887852
0.27049180327868855,0.995841039679643,0.01552692158294411
0.2896174863387978,0.9955608377176093,0.01548039447661302
0.2923497267759563,0.9787799405988024,0.07612400036643074
0.3087431693989071,0.9952515018713617,0.015536174200530748
0.32786885245901637,0.9949895056931629,0.015438380488131592
0.3360655737704918,0.992628801986344,0.02225916670857586
0.3469945355191257,0.9947051574210977,0.015417332691482651
0.366120218579235,0.9944400719772306,0.015344989556775133
0.3770491803278688,0.9925558312655086,0.020014744754206282
0.38524590163934425,0.9941874753327861,0.015246915934567543
0.40437158469945356,0.9938675516272234,0.015328363002244912
0.4180327868852459,0.9921439633436532,0.019046187643665835
0.42349726775956287,0.9936084944565937,0.015255837750073374
0.4426229508196721,0.9933077524495966,0.01528599460727075
0.45901639344262296,0.9925170595533498,0.01649803415573481
0.46174863387978143,0.9930407886538198,0.015239063530331094
0.4808743169398907,0.9927635840552256,0.015217797645963354
0.5,0.9923866333181088,0.015402405559100036
0.5382513661202186,0.9918695404102231,0.015282665954544493
0.6147540983606558,0.9908634975594637,0.015042368426585972
0.6912568306010929,0.989755539132904,0.015007989900462745
0.76775956284153,0.9887510684478642,0.014843754444750371
0.8442622950819673,0.9879221764382227,0.014496940862533697
0.9207650273224044,0.986634012240446,0.014721368822288425
0.9917808219178083,0.9857202621593002,0.014607530078885666
1.4958904109589042,0.9684658038235586,0.021651145509113956
2.041095890410959,0.9646777154925453,0.017774700612821936
2.5726027397260274,0.9596076602645747,0.016155987416212714
3.158904109589041,0.9560101744942073,0.014343133302389788
3.745205479452055,0.9515506931874987,0.013348544988304178
4.286885245901639,0.9447851840224999,0.013337334942740808
4.830601092896175,0.9351712825351098,0.013971911610862309
5.410958904109589,0.9328346106071185,0.012932267969349986
6,0.9112225035716386,0.015615360292808633
6.536986301369863,0.9039985424937811,0.015559263051871719
7.284931506849315,0.899390312039226,0.014662275239356815
8.040983606557377,0.8808737502056387,0.015899380951168496
8.789617486338798,0.8766449885618798,0.015090995679653663
9.536986301369863,0.8569781716151591,0.01631527014295986
10.284931506849315,0.863621783286139,0.01435794094083076
11.04109589041096,0.8350400857860977,0.01646171125503071
