DepCols,3month,6month,1year,2year,3year,5year,7year,10year,20year,30year
3month,0.9999999999999996,0.9904288667264021,0.972376607861253,0.9023252130441203,0.8571316017584842,0.759154747677572,0.6714941595524017,0.5973083119129328,0.4120692749679778,0.4239597413956232
6month,0.9904288667263895,0.9999999999999921,0.9896337023821837,0.9247190693591695,0.8783846044887096,0.7792387706509079,0.6892479041017426,0.6171692397982554,0.42156802703375396,0.4276154044779147
1year,0.9723766078612551,0.9896337023821865,0.999999999999998,0.9624046444815756,0.9256032661197897,0.8376015152548528,0.7526886271838208,0.6828828233604229,0.4847815591215743,0.4876060026760076
2year,0.9023252130441067,0.9247190693591599,0.962404644481567,0.999999999999999,0.9920551091035568,0.9446304241841463,0.8859690282583117,0.8258320443010305,0.6476435705905145,0.6390255858604482
3year,0.8571316017584829,0.8783846044886902,0.9256032661197752,0.9920551091035663,1.000000000000013,0.9757584425473758,0.9317796275230661,0.8802304282276516,0.717113856654652,0.7066734914123433
5year,0.7591547476775671,0.7792387706509026,0.8376015152548415,0.9446304241841559,0.9757584425473845,1.0000000000000133,0.984724853845322,0.9569045764781102,0.8234082571398695,0.8141480143206676
7year,0.6714941595523893,0.6892479041017354,0.7526886271838227,0.885969028258312,0.9317796275230642,0.9847248538453183,1.0000000000000062,0.9870104832673372,0.9032930019063695,0.8868279933832162
10year,0.5973083119129304,0.6171692397982546,0.6828828233604144,0.8258320443010427,0.8802304282276623,0.9569045764781214,0.9870104832673698,1.0000000000000122,0.9306631558854914,0.9215144174844846
20year,0.4120692749679764,0.42156802703375135,0.4847815591215676,0.6476435705905305,0.7171138566546623,0.8234082571398896,0.9032930019063707,0.9306631558854653,1.0000000000000033,0.978385197064434
30year,0.4239597413956229,0.4276154044779205,0.4876060026760009,0.6390255858604479,0.7066734914123417,0.8141480143206641,0.8868279933832283,0.9215144174844585,0.9783851970644349,1.0000000000000173
